ID;Parcela;Incendio;Especie Dominante;CBI Sotobosque;CBI Dosel;CBI Parcela;Geo CBI;CBI Par SS;GeoCBI Par SS;X;Y;MapX;MapY;Lat;Lon;NDVI2017;NDVI2018;NDVI2019;NDVI2020;NDWI2017;NDWI2018;NDWI2019;NDWI2020;NBR2017;NBR2018;NBR2019;NBR2020;B1_2017;B2_2017;B3_2017;B4_2017;B5_2017;B6_2017;B7_2017;B8_2017;B8_2017;B9_2017;B11_2017;B12_2017;B1_2018;B2_2018;B3_2018;B4_2018;B5_2018;B6_2018;B7_2018;B8_2018;B8A_2018;B9_2018;B11_2018;B12_2018;B1_2019;B2_2019;B3_2019;B4_2019;B5_2019;B6_2019;B7_2019;B8_2019;B8A_2019;B9_2019;B11_2019;B12_2019;B1_2020;B2_2020;B3_2020;B4_2020;B5_2020;B6_2020;B7_2020;B8_2020;B8A_2020;B9_2020;B11_2020;B12_2020
21;106;Nilahue Barahona;Quillay - Litre;0.88;0.88;0.88;0.65;1.2;1.22;2574;7599;252620;6167670;-34.603.024;-71.697.643;0.2712;0.1398;0.0888;0.131;0.1713;0.106;0.0508;0.0737;0.3199;0.1789;0.0864;0.1079;-248.6418;-435.6098;-316.8192;-535.5391;-273.1886;638.9998;880.2388;947.1298;973.4481;869.6917;-252.9182;-1141.55;27.322;-133.9347;-68.1199;-374.0469;-147.3052;391.7407;393.2089;354.7108;445.7506;348.7996;-493.9138;-772.6504;77.9896;-96.0501;-52.7767;-328.605;-213.4081;137.4392;165.4281;-69.9456;105.2158;235.599;-458.7312;-497.0763;-9.7492;-151.9795;-165.3821;-510.8314;-336.9711;24.4346;106.593;-39.6433;85.176;20.8752;-636.6978;-613.582
22;107;Nilahue Barahona;Eucalipto - Espino;1;1.06;1.02;0.74;1.3;1.45;2272;7357;249600;6170090;-34.580.493;-71.729.829;0.0726;0.016;0.0175;0.0364;0.0388;-0.0289;0.0141;-0.0042;0.1476;-0.0092;0.0375;0.0414;-111.4927;-58.5658;51.8186;243.1991;260.8134;671.0928;830.1714;969.1914;1029.0551;1132.5403;917.7466;-339.3447;51.8768;-114.5267;-164.4086;-297.7307;-376.4009;-301.8953;-322.1802;-311.8523;-386.4807;-256.5049;20.532;-175.2437;305.4464;289.519;394.2083;499.1825;236.3672;369.2706;455.7777;514.0085;551.7957;561.9104;523.9978;145.4304;-98.4151;-302.0572;-362.7694;-482.98;-359.5875;-206.9829;-126.8894;-294.9033;-124.5393;-84.4373;-332.2993;-706.2573
23;108;Nilahue Barahona;Eucalipto;0.83;1.25;0.97;0.89;1.38;1.41;2397;7376;250850;6169900;-34.582.508;-71.716.271;0.0835;0.081;0.0575;0.0754;0.0513;-0.0139;0.0303;0.0315;0.1294;-0.0082;0.0377;0.0454;-101.8349;-62.6082;31.0484;-12.4163;147.7595;445.0835;502.3801;676.6584;586.5507;672.6174;424.9385;-147.2316;-35.7172;-208.5836;-241.0758;-543.5008;-255.3108;-221.0027;-244.3184;-202.1449;-258.9241;-294.5837;-94.9431;-88.4442;166.5398;40.0026;131.2878;2.5314;177.2361;288.7966;292.0432;320.3368;313.553;371.0535;118.2708;30.1525;34.2394;-138.818;-116.0369;-367.3514;-34.3593;140.2158;140.4087;-0.6979;170.8374;141.3113;-303.8779;-276.7639
24;109;Nilahue Barahona;Quillay - Peumo;0.53;0.53;0.53;0.43;0.74;0.67;2402;7340;250900;6170260;-34.579.277;-71.715.621;0.1327;0.0821;0.0361;0.0584;0.1191;0.0122;0.0274;0.0306;0.2481;0.0475;0.0383;0.0579;-101.7102;-35.3421;110.7385;210.9835;321.712;804.0245;878.7689;1126.4885;1099.8418;1112.678;586.8676;-443.6359;54.9707;-101.2627;-86.548;-286.0881;-206.4149;52.9709;-7.8303;83.0016;42.4469;47.1133;-19.26;-258.1757;21.9608;-148.5037;-164.145;-366.9843;-189.1636;-43.9244;-137.0688;-169.5603;-168.2952;-51.6733;-490.3062;-416.4561;21.5577;-98.501;-64.461;-257.6044;-199.7939;34.9117;2.2075;-78.3149;-3.7751;-16.6326;-410.1355;-492.0847
25;110;Nilahue Barahona;Pino Radiata;0.58;3;1.39;0.63;1.58;0.17;2407;7264;250950;6171020;-34.572.444;-71.714.853;0.3135;0.2833;0.2343;0.2199;0.2881;0.2601;0.2147;0.1844;0.4307;0.3408;0.27;0.2373;-134.1707;-184.7601;-106.6315;-201.0701;-2.2391;897.5719;1244.2092;1367.7754;1396.9133;1348.4716;-98.2859;-649.4155;-65.3411;-273.6473;-279.913;-519.4799;-528.5305;347.137;570.349;756.9952;671.9912;1041.9104;-861.4033;-1000.5948;-75.5363;-324.6337;-388.29;-672.2015;-578.2949;76.3029;361.657;309.2231;394.3417;583.4744;-1083.7122;-1020.5392;-62.0364;-267.4424;-323.2265;-538.071;-464.0557;99.3275;382.6702;313.8605;405.157;439.0321;-837.0846;-828.9436
26;111;Nilahue Barahona;Pino Radiata;0.75;1.69;1.22;1.06;1.69;1.69;2548;7526;252360;6168400;-34.596.385;-71.700.262;0.0498;0.0075;0.008;0.0452;0.0517;0.0303;0.0428;0.0837;0.0679;0.0213;0.0316;0.0619;53.5958;11.1036;53.0858;-29.9407;-45.8619;381.95;610.1117;662.8724;663.7141;703.0332;71.231;-60.7492;94.9362;-2.871;95.8608;62.017;170.8954;523.3129;710.7338;691.6854;824.681;840.777;165.4747;70.5363;135.4084;17.9539;82.2147;49.5481;83.6279;411.6145;680.0074;613.4583;685.7089;604.067;81.8998;26.9843;102.4739;10.8118;41.6289;-16.8226;-51.4955;462.5845;752.3815;705.8357;798.2917;669.2019;-35.2934;-32.1538
27;112;Nilahue Barahona;Pino Radiata;0.8;1.75;1.04;0.9;1.08;0.88;2024;7527;247120;6168390;-34.595.198;-71.757.344;0.2389;0.2446;0.1732;0.1724;0.2289;0.2713;0.2079;0.2141;0.3226;0.3155;0.2611;0.2652;-33.8033;-123.4937;-9.9978;-276.009;-1.1371;1207.2229;1478.5897;1872.6815;1618.9999;1241.0747;-102.755;-701.4708;177.5399;-134.7011;82.7389;-247.6337;-135.3914;776.4595;977.4747;1947.7584;1144.181;875.7664;-372.7816;-556.1244;192.0121;-230.1823;-22.7491;-289.2947;-178.2314;723.5469;850.3503;1415.7889;801.7385;581.6489;-579.9542;-787.9226;94.6044;-195.8877;-93.7172;-359.8896;-337.6879;453.045;672.0817;1209.0662;589.8594;411.3384;-947.3331;-1033.2059
28;113;Nilahue Barahona;Pino Radiata;0.9;2.31;1.37;1.51;1.24;1.24;2056;7339;247440;6170270;-34.578.343;-71.753.299;0.184;0.1619;0.1446;0.1351;0.2014;0.3062;0.2807;0.248;0.2206;0.319;0.3124;0.26;-148.6604;-83.3681;-105.4899;-262.8566;-257.0672;496.9773;765.4785;893.4969;729.9749;1337.0469;-310.9791;-352.5161;-58.0267;-98.1151;-53.3527;-122.364;-102.8315;706.5843;1059.2417;1213.2052;1099.6401;1259.145;-444.3899;-433.9275;-5.6551;-76.0673;9.0681;-98.8254;-6.7693;574.3506;916.4027;1151.4618;942.5846;1117.434;-401.9633;-461.765;-70.9991;-118.2702;-99.3359;-190.3684;-253.2639;268.1234;553.3453;739.8933;495.9749;495.629;-667.1542;-566.3628
29;15;Nilahue Barahona;Peumo - Quillay;0.97;0.97;0.97;0.64;1.41;1.2;2267;7379;249550;6169870;-34.582.462;-71.730.438;0.2479;0.1636;0.115;0.1466;0.1819;0.0836;0.0844;0.0854;0.3224;0.127;0.1142;0.1204;-393.6886;-292.4291;-117.7548;-279.9158;89.7354;724.5206;933.5558;1157.5565;1120.3107;821.0919;-45.8977;-1062.8911;-17.7677;-261.0233;-228.3009;-596.0944;-381.9554;-20.0319;-41.6288;92.4312;-38.2578;-66.5002;-708.6785;-780.5963;2.9037;-248.8271;-176.887;-516.0127;-186.3219;15.838;-50.527;59.3381;-92.6636;-78.2239;-761.4814;-708.1487;-22.104;-222.7715;-200.9875;-507.3114;-313.7494;15.2087;74.0129;88.7322;72.9492;1.4641;-734.6213;-730.9338
30;16;Nilahue Barahona;Eucalipto;0.17;1.25;0.71;0.98;0.71;0.98;2390;7386;250780;6169800;-34.583.392;-71.717.062;0.0795;0.0867;0.0718;0.0877;0.0409;0.0115;0.0482;0.0557;0.1227;0.0238;0.0628;0.0801;33.8192;-45.7607;127.1431;128.2429;53.7595;484.5682;792.5903;821.6395;871.634;1127.0797;560.1234;-137.2898;98.279;-176.2088;-131.167;-396.762;-313.9446;-53.2986;-29.0938;-28.2756;14.3682;-24.405;-151.1663;-174.4132;202.91;14.8127;91.8937;-88.7941;-9.9788;225.3398;363.1207;345.9304;439.3772;436.9883;-105.7859;-166.2103;122.4608;-132.5265;-51.6285;-270.812;-204.7297;181.8824;348.8445;200.1299;412.8811;313.2808;-380.4458;-407.8802
